"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,486693621363584;0,703403653642929;0;2,36838882900952;0,568718785733358;0,234091713326152;0,712118178334448;0,593111514863628;0,657427034875614;0,579766900912412;1,76672995023082;0,723193544230274;0,611064495589141;0,632236766648434;0,594019804684942;0;0,403903011831617;0,616587454733797;0,27442893536304;0,585576999702375;0,241174788858454;0
"flags";0,582758063087011;0,773886550340498;0,257142857142857;4,08991493886231;0,701501755805185;0,26856952988532;0,591549734112759;0,57869658740241;0,626859220562228;0,598412698412698;2,68192185007974;0,730627226853606;0,725547669318553;0,722867501326406;0,732361413979884;0,114285714285714;0,269747474747475;0,704393952051847;0,282804891015417;0,718950412647781;0,140438596491228;0,128571428571429
"GnegativeGO";0,951090250393404;0,968675288398605;0;0,205686372887506;0,960172693861122;0,0124060088302205;0;0,930739350630033;0,932927067887065;0,933184839381486;0,160302432825776;0,974693615299153;0,952818662203217;0,947186154061367;0,95876667341476;0,25;0,0423781258680999;0,961912273625881;0,0195221573019001;0,967586986135509;0,92377149141882;0,25
"GnegativePseAAC";0,537422384281025;0,665972534583902;0;1,77472249960923;0,554027234679666;0,122161188475765;0;0,291547893204309;0,360431912915222;0,296645324526422;1,7509245572134;0,743856941780921;0,548224715303226;0,531611666035304;0,566684565181765;0,2875;0,457405512266985;0,547406316081886;0,243433726411065;0,578041287334874;0,488729450077223;0,35
"GpositiveGO";0,941229474373204;0,966269078991055;0;0,106075158655625;0,945408947323487;0,0293852628133982;0,928464593679697;0,856801652192468;0,851202718784409;0,879567262802557;0,0983451435726686;0,964201972848939;0,942126648313482;0,932461895197744;0,952210506844247;0,25;0,0558851987819801;0,942191012834742;0,03246120170371;0,952806354762515;0,928691055522354;0,05
"GpositivePseAAC";0,546196533765901;0,722449296603015;0;0,827158570249581;0,559345266892437;0,230276900310197;0,631078661814282;0,402432161404069;0,40197484818373;0,429454589528119;0,821351632089701;0,703978886389799;0,559265006673239;0,539884842983461;0,581100771222858;0,2;0,449013204701329;0,549100002845841;0,272982595311952;0,582739264065568;0,506750334386294;0,25
"scene";0,573871915367293;0,709936277325872;0;1,37110693932098;0,594029898238364;0,148274914155192;0,759034676344589;0,602502315504163;0,63540448279862;0,615401524191746;1,31696478334025;0,750123518928355;0,590324454140934;0,584485261608769;0,596506441935815;0;0,39700473359028;0,597749506726133;0,252731000435777;0,610541169196728;0,514023685124479;0
"VirusGO";0,870198412698413;0,929876984126984;0;0,518095238095238;0,897634920634921;0,045952380952381;0;0,759866905826658;0,764680134680135;0,784722222222222;0,304761904761905;0,933367476940459;0,891317552565293;0,871322613467775;0,914225071225071;0,133333333333333;0,0964285714285714;0,897619047619048;0,0485813492063492;0,924246031746032;0,782142857142857;0,15
"VirusPseAAC";0,355634920634921;0,57821626984127;0;2,21214285714286;0,384563492063492;0,232063492063492;0;0,205799165652735;0,193813248298542;0,275694444444444;2,07190476190476;0,608921135030067;0,398146155104447;0,419752870318088;0,380806267806268;0,55;0,575238095238095;0,415238095238095;0,389831349206349;0,384444444444444;0,27047619047619;0,566666666666667
"Yelp";0,638293635094548;0,861507403598581;0;1,44908798244208;0,702196598940106;0,171038850139195;0,770876852223239;0,684009357047073;0,713350541781656;0,667382278427338;0,741684748928824;0,808510146676441;0,737517242276601;0,741678737703611;0,733488256899974;0;0,239417825277858;0,743854707241235;0,145888092034379;0,715685284771523;0,429384704833309;0
